교재,레벨,구간,Chapter,영어,뜻
수능공습,수능공습A,수능공습A,1,clash,(의견 등이)충돌하다
수능공습,수능공습A,수능공습A,1,alertness ,각성도
수능공습,수능공습A,수능공습A,1,exclamation ,"감탄, 외침"
수능공습,수능공습A,수능공습A,1,coin,(새로운 낱말을)만들다
수능공습,수능공습A,수능공습A,1,clash ,충돌
수능공습,수능공습A,수능공습A,1,critical,"비판적인, 비평적인"
수능공습,수능공습A,수능공습A,1,misconceive ,오해하다
수능공습,수능공습A,수능공습A,1,durability ,내구성
수능공습,수능공습A,수능공습A,1,cognitive,인지적인
수능공습,수능공습A,수능공습A,1,presence,존재
수능공습,수능공습A,수능공습A,1,collaborative ,공동의
수능공습,수능공습A,수능공습A,1,enforcement ,"시행, 강제"
수능공습,수능공습A,수능공습A,1,backfire ,역효과
수능공습,수능공습A,수능공습A,1,thorough,철두철미한
수능공습,수능공습A,수능공습A,1,initiate ,시작하다
수능공습,수능공습A,수능공습A,1,reluctance ,"꺼림, 싫음"
수능공습,수능공습A,수능공습A,1,reluctant,꺼려하는
수능공습,수능공습A,수능공습A,1,criticism ,"비판, 비평"
수능공습,수능공습A,수능공습A,1,present ,존재하는
수능공습,수능공습A,수능공습A,1, wireless ,무선의
수능공습,수능공습A,수능공습A,1,avidly ,열성적으로
수능공습,수능공습A,수능공습A,1,be attributed to,~에 기인하다
수능공습,수능공습A,수능공습A,1,struggle,어려움
수능공습,수능공습A,수능공습A,1,chemical,화학 물질
수능공습,수능공습A,수능공습A,1,struggling ,발버둥치는
수능공습,수능공습A,수능공습A,1,be on the lookout for,~을 찾다
수능공습,수능공습A,수능공습A,1,advent,출현
수능공습,수능공습A,수능공습A,1,viable,실행 가능한
수능공습,수능공습A,수능공습A,1,viability ,실행 가능성
수능공습,수능공습A,수능공습A,1,outnumber,~보다 더 많다
수능공습,수능공습A,수능공습A,1,trigger,촉발시키다
수능공습,수능공습A,수능공습A,1,declare,공표하다
수능공습,수능공습A,수능공습A,1,collaboration,공동 작업
수능공습,수능공습A,수능공습A,1,imminence ,임박
수능공습,수능공습A,수능공습A,1,prior ,우선하는
수능공습,수능공습A,수능공습A,1,resilient,회복력이 있는
수능공습,수능공습A,수능공습A,1,urge,촉구하다
수능공습,수능공습A,수능공습A,1,label,이름 짓다
수능공습,수능공습A,수능공습A,1,completion ,"완료, 완성"
수능공습,수능공습A,수능공습A,1,neurologist ,신경학자
수능공습,수능공습A,수능공습A,1,elicit,이끌어 내다
수능공습,수능공습A,수능공습A,1,criticize ,"비판하다, 비평하다"
수능공습,수능공습A,수능공습A,1,prevail ,만연하다
수능공습,수능공습A,수능공습A,1,glimpse,흘끗 보기
수능공습,수능공습A,수능공습A,1,engage ,관여하다
수능공습,수능공습A,수능공습A,1,trigger ,계기;방아쇠
수능공습,수능공습A,수능공습A,1,splendid,훌륭한
수능공습,수능공습A,수능공습A,1,transition,"(상태 등의)변화, 이동"
수능공습,수능공습A,수능공습A,1,exclaim,외치다
수능공습,수능공습A,수능공습A,1,declarative ,서술문의
수능공습,수능공습A,수능공습A,1,alternate ,번갈아 나오는
수능공습,수능공습A,수능공습A,1,migraine,편두통
수능공습,수능공습A,수능공습A,1,misconception,오해
수능공습,수능공습A,수능공습A,1,chemical ,화학의
수능공습,수능공습A,수능공습A,1,archaeology ,고고학
수능공습,수능공습A,수능공습A,1,incorporate ,(법인체를)설립하다
수능공습,수능공습A,수능공습A,1,notoriety ,"악명, 악평"
수능공습,수능공습A,수능공습A,1,corporate ,"기업의, 회사의"
수능공습,수능공습A,수능공습A,1,unnoticed,간과되는
수능공습,수능공습A,수능공습A,1,isolate ,고립시키다
수능공습,수능공습A,수능공습A,1,corporation,"기업, 법인"
수능공습,수능공습A,수능공습A,1,fluid,액체
수능공습,수능공습A,수능공습A,1,neurological,신경학적인
수능공습,수능공습A,수능공습A,1,avid,열성적인
수능공습,수능공습A,수능공습A,1,overlook,간과하다
수능공습,수능공습A,수능공습A,1,contraction ,수축
수능공습,수능공습A,수능공습A,1,urgent ,긴급한
수능공습,수능공습A,수능공습A,1,archaeological ,고고학의
수능공습,수능공습A,수능공습A,1,declaration ,선언
수능공습,수능공습A,수능공습A,1,prevalent,"널리 퍼진, 우세한, 유력한"
수능공습,수능공습A,수능공습A,1,ethical,윤리적인
수능공습,수능공습A,수능공습A,1,revengeful ,복수심에 불타는
수능공습,수능공습A,수능공습A,1,notice ,알아채다
수능공습,수능공습A,수능공습A,1,initial,초기의
수능공습,수능공습A,수능공습A,1,labeling ,표시
수능공습,수능공습A,수능공습A,1,indulge ,마음껏 하다
수능공습,수능공습A,수능공습A,1,tap into,~을 활용하다
수능공습,수능공습A,수능공습A,1,wire,연결하다
수능공습,수능공습A,수능공습A,1,appease,달래다
수능공습,수능공습A,수능공습A,1,consistently ,일관되게
수능공습,수능공습A,수능공습A,1,collaborate ,공동 작업 하다
수능공습,수능공습A,수능공습A,1,lookout ,망보는 곳
수능공습,수능공습A,수능공습A,1,completely,완전히
수능공습,수능공습A,수능공습A,1, indulgence ,제멋 대로 하기
수능공습,수능공습A,수능공습A,1,cognition ,인식
수능공습,수능공습A,수능공습A,1,autonomous ,자율적인
수능공습,수능공습A,수능공습A,1,occur ,발생하다
수능공습,수능공습A,수능공습A,1,autonomy,자율성
수능공습,수능공습A,수능공습A,1,reminisce ,추억하다
수능공습,수능공습A,수능공습A,1,ethics ,윤리
수능공습,수능공습A,수능공습A,1,splendor ,"훌륭함, 화려함"
수능공습,수능공습A,수능공습A,1,consistency ,일관성
수능공습,수능공습A,수능공습A,1,churn,(걱정으로)뒤틀리다
수능공습,수능공습A,수능공습A,1,archaeologist,고고학자
수능공습,수능공습A,수능공습A,1,notoriously ,악명 높게
수능공습,수능공습A,수능공습A,1,imminent,임박한
수능공습,수능공습A,수능공습A,1,make ends meet,생계를 유지하다
수능공습,수능공습A,수능공습A,1,reaper ,수확하는 사람
수능공습,수능공습A,수능공습A,1,resilience ,회복력
수능공습,수능공습A,수능공습A,1,reap,거두다
수능공습,수능공습A,수능공습A,2,extend ,연장하다
수능공습,수능공습A,수능공습A,2,compression ,압축
수능공습,수능공습A,수능공습A,2,exclusively,오직
수능공습,수능공습A,수능공습A,2,deteriorate,악화되다
수능공습,수능공습A,수능공습A,2,recede ,약해 지다
수능공습,수능공습A,수능공습A,2,crack ,금이 가다
수능공습,수능공습A,수능공습A,2,competent,유능한
수능공습,수능공습A,수능공습A,2,compete ,경쟁하다
수능공습,수능공습A,수능공습A,2,inherently,선천적으로
수능공습,수능공습A,수능공습A,2,dictate ,명령하다
수능공습,수능공습A,수능공습A,2,inspirational ,영감을주는
수능공습,수능공습A,수능공습A,2,land,"얻다,, 내려앉다, 착륙하다"
수능공습,수능공습A,수능공습A,2,depressed ,우울한
수능공습,수능공습A,수능공습A,2,fuse ,융합시키다
수능공습,수능공습A,수능공습A,2,illuminate ,비추다
수능공습,수능공습A,수능공습A,2,supervise ,"감독하다, 관리하다"
수능공습,수능공습A,수능공습A,2,competence ,유능함
수능공습,수능공습A,수능공습A,2,suit ,고소
수능공습,수능공습A,수능공습A,2,conscious ,의식하는
수능공습,수능공습A,수능공습A,2,surpass,~를 넘어서다
수능공습,수능공습A,수능공습A,2,nuclear fusion,핵융합
수능공습,수능공습A,수능공습A,2,purposeful ,목적의식이 있는
수능공습,수능공습A,수능공습A,2,devastation ,파괴
수능공습,수능공습A,수능공습A,2,prosperous ,번영한
수능공습,수능공습A,수능공습A,2,anxious ,불안해 하는
수능공습,수능공습A,수능공습A,2,revolt ,"반란, 저항"
수능공습,수능공습A,수능공습A,2,compress,압축하다
수능공습,수능공습A,수능공습A,2,phenomenal,"놀랄 만한, 경이로운"
수능공습,수능공습A,수능공습A,2,proceeds,수익금
수능공습,수능공습A,수능공습A,2,intend ,의도하다
수능공습,수능공습A,수능공습A,2,revolutionary,혁명적인
수능공습,수능공습A,수능공습A,2,devastate,파괴하다
수능공습,수능공습A,수능공습A,2,intact,(하나도 손상되지 않고) 온전한
수능공습,수능공습A,수능공습A,2,depression,우울증
수능공습,수능공습A,수능공습A,2,prosper,번성하다
수능공습,수능공습A,수능공습A,2,cooperate,"도움이 되다, 협조하다"
수능공습,수능공습A,수능공습A,2,definitive,확정적인
수능공습,수능공습A,수능공습A,2,blossom,발전하다
수능공습,수능공습A,수능공습A,2,dictatorship ,독재
수능공습,수능공습A,수능공습A,2,radical,급진적인
수능공습,수능공습A,수능공습A,2,refugee,난민
수능공습,수능공습A,수능공습A,2,exclusive ,배타적인
수능공습,수능공습A,수능공습A,2,ripe,"(과일, 곡물이)익은, 숙성한"
수능공습,수능공습A,수능공습A,2,revolution ,혁명
수능공습,수능공습A,수능공습A,2,venture,(위험을 무릅쓰고)가다
수능공습,수능공습A,수능공습A,2,primary ,초기의
수능공습,수능공습A,수능공습A,2,inhumanity ,비인간적 행위
수능공습,수능공습A,수능공습A,2,phenomenon ,"현상, 장관"
