교재,레벨,구간,Chapter,영어,뜻
절대수능-map,Basic,Basic1,1,portray,"묘사하다, 나타내다 "
절대수능-map,Basic,Basic1,1,recover,회복되다 
절대수능-map,Basic,Basic1,1,grasp,"꽉 잡다, 움켜잡다"
절대수능-map,Basic,Basic1,1,package,(여행사의) 패키지여행 
절대수능-map,Basic,Basic1,1,defenseless,무방비의
절대수능-map,Basic,Basic1,1,survival,생존
절대수능-map,Basic,Basic1,1,surgery,수술
절대수능-map,Basic,Basic1,1,recital,"발표회, 연주회"
절대수능-map,Basic,Basic1,1,medium,"매체, 수단"
절대수능-map,Basic,Basic1,1,invent,"지어내다, 발명하다"
절대수능-map,Basic,Basic1,1,various,다양한 
절대수능-map,Basic,Basic1,1,grade,학년
절대수능-map,Basic,Basic1,1,employ,사용하다
절대수능-map,Basic,Basic1,1,taint ,"오염시키다, 더럽히다"
절대수능-map,Basic,Basic1,1,virtue,덕목
절대수능-map,Basic,Basic1,1,constraint,"제한, 제약(이 되는 것)  "
절대수능-map,Basic,Basic1,1,suitable,적합한
절대수능-map,Basic,Basic1,1,include,포함하다 
절대수능-map,Basic,Basic1,1,stimulate,자극하다
절대수능-map,Basic,Basic1,1,imaginative,"상상력이 풍부한, 창의적인 "
절대수능-map,Basic,Basic1,1,decompose,분해되다
절대수능-map,Basic,Basic1,1,sink,가라앉다
절대수능-map,Basic,Basic1,1,observe,관찰하다
절대수능-map,Basic,Basic1,1,technique,"기법, 기술 "
절대수능-map,Basic,Basic1,1,currently,현재
절대수능-map,Basic,Basic1,1,confidence,자신감
절대수능-map,Basic,Basic1,1,circumstance ,"사정, 상황"
절대수능-map,Basic,Basic1,1,slot,"자리, 시간"
절대수능-map,Basic,Basic1,1,essential,필수적인
절대수능-map,Basic,Basic1,1,cease,중단시키다
절대수능-map,Basic,Basic1,1,previously,이전에
절대수능-map,Basic,Basic1,1,psychological,심리적인
절대수능-map,Basic,Basic1,1,tap,박자를 맞추다
절대수능-map,Basic,Basic1,1,anchor,고정시키다
절대수능-map,Basic,Basic1,1,non-refundable,환불할 수 없는
절대수능-map,Basic,Basic1,1,flesh,"피부, 살 "
절대수능-map,Basic,Basic1,1,respectively,각각 
절대수능-map,Basic,Basic1,1,childhood,어린 시절 
절대수능-map,Basic,Basic1,1,tournament,"토너먼트, 선수권 대회"
절대수능-map,Basic,Basic1,1,apologize,사과하다
절대수능-map,Basic,Basic1,1,distinctive,독특한
절대수능-map,Basic,Basic1,1,prep,예비의  
절대수능-map,Basic,Basic1,1,step-by-step,단계적인
절대수능-map,Basic,Basic1,1,regard,"관심, 고려"
절대수능-map,Basic,Basic1,1,reschedule,일정을 변경하다
절대수능-map,Basic,Basic1,1,modernization,현대화
절대수능-map,Basic,Basic1,1,extremely,극도로
절대수능-map,Basic,Basic1,1,foresight,"선견지명, 통찰력"
절대수능-map,Basic,Basic1,1,workout,운동
절대수능-map,Basic,Basic1,1,swollen,"부어오른, 부은 "
절대수능-map,Basic,Basic1,1,pregnant ,임신한
절대수능-map,Basic,Basic1,1,disguise,"변장하다, 위장하다"
절대수능-map,Basic,Basic1,1,predator,포식자
절대수능-map,Basic,Basic1,1,eliminate,제거하다
절대수능-map,Basic,Basic1,1,instructor,강사
절대수능-map,Basic,Basic1,1,manufacture,제조하다
절대수능-map,Basic,Basic1,1,comfortable,편안한
절대수능-map,Basic,Basic1,1,injure,부상을 입히다 
절대수능-map,Basic,Basic1,1,register,등록하다
절대수능-map,Basic,Basic1,1,performance,공연
절대수능-map,Basic,Basic1,1,offer,제공하다
절대수능-map,Basic,Basic1,1,departure,출발
절대수능-map,Basic,Basic1,1,vote,투표하다
절대수능-map,Basic,Basic1,1,legacy,유산
절대수능-map,Basic,Basic1,1,essence,본질
절대수능-map,Basic,Basic1,1,swift,"빠른, 신속한 "
절대수능-map,Basic,Basic1,1,enthusiasm ,"열정, 열의"
절대수능-map,Basic,Basic1,1,vulnerable,취약한
절대수능-map,Basic,Basic1,1,critically,비판적으로 
절대수능-map,Basic,Basic1,1,non-threatening,위협적이지 않은 
절대수능-map,Basic,Basic1,1,opportunity,기회
절대수능-map,Basic,Basic1,1,proposal,"제안, 신청"
절대수능-map,Basic,Basic1,1,repetition,반복
절대수능-map,Basic,Basic1,1,agency,대행사 
절대수능-map,Basic,Basic1,1,newlywed,신혼부부
절대수능-map,Basic,Basic1,1,pale,창백한
절대수능-map,Basic,Basic1,1,principal,교장 선생님
절대수능-map,Basic,Basic1,1,commercial,광고
절대수능-map,Basic,Basic1,1,notice,알아채다
절대수능-map,Basic,Basic1,1,environment,환경
절대수능-map,Basic,Basic1,2,rate,요금
절대수능-map,Basic,Basic1,2,enormous,"엄청난, 막대한 "
절대수능-map,Basic,Basic1,2,typical,전형적인
절대수능-map,Basic,Basic1,2,hardly,거의 ~하지 않게
절대수능-map,Basic,Basic1,2,evolutionary,진화의
절대수능-map,Basic,Basic1,2,panic,겁에 질려 어쩔 줄 모르다
절대수능-map,Basic,Basic1,2,reconcile ,화해시키다
절대수능-map,Basic,Basic1,2,debt,빚을 진 상태 
절대수능-map,Basic,Basic1,2,familiar ,친숙한
절대수능-map,Basic,Basic1,2,resent,분개하다
절대수능-map,Basic,Basic1,2,promising,"유망한, 장래가 촉망되는"
절대수능-map,Basic,Basic1,2,exotic,"외국의, 이국적인"
절대수능-map,Basic,Basic1,2,contain,포함하다
절대수능-map,Basic,Basic1,2,underlie,근간을 이루다
절대수능-map,Basic,Basic1,2,float,"띄우다, 떠(흘러)가다 "
절대수능-map,Basic,Basic1,2,destination ,목적지
절대수능-map,Basic,Basic1,2,eager,간절히 바라는
절대수능-map,Basic,Basic1,2,enthusiasm,열정
절대수능-map,Basic,Basic1,2,compare,비교하다 
절대수능-map,Basic,Basic1,2,suck,빨아들이다
절대수능-map,Basic,Basic1,2,climax,"(극, 사건 등의) 최고조, 절정"
절대수능-map,Basic,Basic1,2,barely,거의 ~하지 않게
절대수능-map,Basic,Basic1,2,promote,"증진하다, 홍보하다"
절대수능-map,Basic,Basic1,2,shrink,움츠러들다 
절대수능-map,Basic,Basic1,2,foundation,"기초, 토대 "
절대수능-map,Basic,Basic1,2,structure,구조
절대수능-map,Basic,Basic1,2,urge,"(강한) 욕구, 충동"
절대수능-map,Basic,Basic1,2,pack,가득 채우다
절대수능-map,Basic,Basic1,2,recognition,"인식, 인정"
절대수능-map,Basic,Basic1,2,literally,말 그대로
절대수능-map,Basic,Basic1,2,release,"출시, 발간 "
절대수능-map,Basic,Basic1,2,mortal,"치명적인, 대단히 심각한"
절대수능-map,Basic,Basic1,2,rare,희귀한
절대수능-map,Basic,Basic1,2,compound,"화합물, 화합체"
절대수능-map,Basic,Basic1,2,adventure,모험
절대수능-map,Basic,Basic1,2,skip ,"건너뛰다, 생략하다 "
절대수능-map,Basic,Basic1,2,uncover,"~을 찾아내다, 밝히다"
절대수능-map,Basic,Basic1,2,hurdle,"장애물, 난관"
절대수능-map,Basic,Basic1,2,noble,숭고한 
절대수능-map,Basic,Basic1,2,quality,"특징, 특성"
절대수능-map,Basic,Basic1,2,flame,"불길, 불꽃"
절대수능-map,Basic,Basic1,2,initial,초기의
절대수능-map,Basic,Basic1,2,interactive,상호적인
절대수능-map,Basic,Basic1,2,exceptional ,"예외적인, 특출한"
절대수능-map,Basic,Basic1,2,magnificent,"참으로 아름다운, 훌륭한"
절대수능-map,Basic,Basic1,2,willingness,기꺼이 하는 마음 
절대수능-map,Basic,Basic1,2,dreadful,"끔찍한, 지독한 "
절대수능-map,Basic,Basic1,2,fear,두려움 
절대수능-map,Basic,Basic1,2,unexpected,"예상 밖의, 뜻밖의"
절대수능-map,Basic,Basic1,2,opportunity,기회
절대수능-map,Basic,Basic1,2,courageous,용감한 
절대수능-map,Basic,Basic1,2,adjust,"조정하다, 적응하다"
절대수능-map,Basic,Basic1,2,worship,숭배하다
절대수능-map,Basic,Basic1,2,admission,입장료
절대수능-map,Basic,Basic1,2,passion,열정
절대수능-map,Basic,Basic1,2,generation,세대
절대수능-map,Basic,Basic1,2,frequency,"빈도, 횟수 "
절대수능-map,Basic,Basic1,2,spin,"돌다, 회전하다"
절대수능-map,Basic,Basic1,2,pursue,추구하다
절대수능-map,Basic,Basic1,2,auditorium,강당
절대수능-map,Basic,Basic1,2,heritage,"유산, 전통"
절대수능-map,Basic,Basic1,2,mechanical,"기계로 작동되는, 기계(상)의"
절대수능-map,Basic,Basic1,2,demonstrate,"보여주다, 입증하다 "
절대수능-map,Basic,Basic1,2,venom,독액
절대수능-map,Basic,Basic1,2,predict,예측하다 
절대수능-map,Basic,Basic1,2,marine,해양의
절대수능-map,Basic,Basic1,2,plot,줄거리
절대수능-map,Basic,Basic1,2,patiently,"끈기 있게, 참을성 있게"
