교재,레벨,구간,Chapter,영어,뜻
V-map,Basic,A1,1,ability ,능력  
V-map,Basic,A1,1,ashamed ,부끄러운    
V-map,Basic,A1,1,ban ,금지하다
V-map,Basic,A1,1,breathe ,숨을 쉬다  
V-map,Basic,A1,1,cause ,"야기하다, 초래하다   "
V-map,Basic,A1,1,century,세기
V-map,Basic,A1,1,commercial ,상업적인   
V-map,Basic,A1,1,community ,"공동체, 사회    "
V-map,Basic,A1,1,damaged ,손상된    
V-map,Basic,A1,1,destruction ,파괴  
V-map,Basic,A1,1,disappear ,사라지다
V-map,Basic,A1,1,electric ,전기의    
V-map,Basic,A1,1,entertainment ,"오락, 여흥     "
V-map,Basic,A1,1,face ,직면하다 
V-map,Basic,A1,1,fair ,축제  
V-map,Basic,A1,1,fee ,요금   
V-map,Basic,A1,1,go through ,"~을 겪다, 경험하다 "
V-map,Basic,A1,1,government ,정부   
V-map,Basic,A1,1,harmful ,해로운  
V-map,Basic,A1,1,I'd like to buy ,~을 구입하고 싶어요
V-map,Basic,A1,1,ignore ,무시하다    
V-map,Basic,A1,1,injury ,부상   
V-map,Basic,A1,1,instead of + (동)명사 ,~하는 것 대신에 
V-map,Basic,A1,1,last ,지속되다    
V-map,Basic,A1,1,lose ,"(사고, 사망 등으로) 잃다    "
V-map,Basic,A1,1,lung ,폐    
V-map,Basic,A1,1,match ,경기   
V-map,Basic,A1,1,medicine,의약품 
V-map,Basic,A1,1,obtain ,얻다    
V-map,Basic,A1,1,predict ,예측하다
V-map,Basic,A1,1,preserve ,보호하다  
V-map,Basic,A1,1,profit  ,이익  
V-map,Basic,A1,1,promoter ,기획자     
V-map,Basic,A1,1,provide ,제공하다  
V-map,Basic,A1,1,purpose ,목적    
V-map,Basic,A1,1,rainforest ,(열대)우림
V-map,Basic,A1,1,rapidly ,빨리 
V-map,Basic,A1,1,reconsider ,다시 생각하다   
V-map,Basic,A1,1,schedule ,계획을 잡다   
V-map,Basic,A1,1,snap ,부러뜨리다    
V-map,Basic,A1,1,sponsor ,"후원 업체, 스폰서   "
V-map,Basic,A1,1,treat ,대하다
V-map,Basic,A1,1,unfortunately ,불행하게도 
V-map,Basic,A1,1,unreported ,알려지지 않은   
V-map,Basic,A1,1,valuable ,가치 있는 
V-map,Basic,A1,1,viewer ,"보는 사람, 관중    "
V-map,Basic,A1,1,What's wrong with ~? ,~의 문제가 뭐니?
V-map,Basic,A1,1,wild,"사나운, 길들여지지 않은  "
V-map,Basic,A1,1,Would you like to leave a message? ,메시지를 남기시겠어요?
V-map,Basic,A1,1,wound ,상처   
V-map,Basic,A1,2,a number of + 복수명사 ,많은 ~들 
V-map,Basic,A1,2,accomplishment ,업적
V-map,Basic,A1,2,achievement ,업적
V-map,Basic,A1,2,advance ,출세하다 
V-map,Basic,A1,2,appear ,~인 것 같다 
V-map,Basic,A1,2,arrest ,체포
V-map,Basic,A1,2,as a result of + 명사(구) ,~의 결과로 
V-map,Basic,A1,2,authorities ,정부 당국 
V-map,Basic,A1,2,be made into ,~으로 만들어지다
V-map,Basic,A1,2,closely ,가까이 
V-map,Basic,A1,2,clue,단서 
V-map,Basic,A1,2,colonist ,식민지 주민 
V-map,Basic,A1,2,colony ,식민지 
V-map,Basic,A1,2,contribution ,공헌 
V-map,Basic,A1,2,disappear ,사라지다 
V-map,Basic,A1,2,driver's license ,운전면허증
V-map,Basic,A1,2,due to ,~때문에 
V-map,Basic,A1,2,earn ,"얻다, 벌다 "
V-map,Basic,A1,2,employee ,직원  
V-map,Basic,A1,2,exit ,나가다  
V-map,Basic,A1,2,female ,여성의
V-map,Basic,A1,2,firm ,확실한 
V-map,Basic,A1,2,forecast ,예보
V-map,Basic,A1,2,guess ,추측
V-map,Basic,A1,2,hang ,(그림 등이 벽에) 걸리다
V-map,Basic,A1,2,have difficulty + 동명사 ,~하는데 어려움이 있다 
V-map,Basic,A1,2,invade ,침입하다
V-map,Basic,A1,2,known as ,~으로 알려진
V-map,Basic,A1,2,perhaps ,아마도    
V-map,Basic,A1,2,praise ,칭찬하다
V-map,Basic,A1,2,punish ,벌주다
V-map,Basic,A1,2,recover ,회복하다 
V-map,Basic,A1,2,refuse ,거절하다
V-map,Basic,A1,2,responsible for ,~에 책임이 있는
V-map,Basic,A1,2,return ,돌아오다 
V-map,Basic,A1,2,reward ,보상
V-map,Basic,A1,2,rule ,지배하다 
V-map,Basic,A1,2,shock ,충격을 주다 
V-map,Basic,A1,2,strict ,엄격한 
V-map,Basic,A1,2,struggle ,투쟁 
V-map,Basic,A1,2,supplies ,보급품
V-map,Basic,A1,2,take apart ,분해하다 
V-map,Basic,A1,2,theft ,절도 
V-map,Basic,A1,2,theory ,이론 
V-map,Basic,A1,2,tourist ,관광객 
V-map,Basic,A1,2,treatment ,치료 
V-map,Basic,A1,2,unseen ,보지 못한 
V-map,Basic,A1,2,Why don't we ~? ,우리 ~하는 것이 어때?
V-map,Basic,A1,2,work of art ,예술품
V-map,Basic,A1,2,You look upset.,기분이 안 좋아 보여
V-map,Basic,A1,3,airless ,공기가 없는
V-map,Basic,A1,3,apply to,~에 적용되다
V-map,Basic,A1,3,available ,이용 가능한
V-map,Basic,A1,3,Believe in yourself.,너 자신을 믿어
V-map,Basic,A1,3,board ,탑승하다 
V-map,Basic,A1,3,bombing ,폭격
V-map,Basic,A1,3,capture ,포착하다 
V-map,Basic,A1,3,cheap ,"값이 싼, 저렴한"
V-map,Basic,A1,3,come true,"이루어지다, 실현되다"
V-map,Basic,A1,3,computerized,컴퓨터화된
V-map,Basic,A1,3,cost,(비용이) 들다
V-map,Basic,A1,3,cover ,(어떤 지역에) 걸치다
V-map,Basic,A1,3,crash ,"(충돌, 추락) 사고 "
V-map,Basic,A1,3,create ,"만들어 내다, 창조하다"
V-map,Basic,A1,3,decide ,결심하다 
V-map,Basic,A1,3,definitely ,분명히 
V-map,Basic,A1,3,delay ,늦추다
V-map,Basic,A1,3,destination ,목적지
V-map,Basic,A1,3,develop ,개발하다 
V-map,Basic,A1,3,development ,"개발, 발달"
V-map,Basic,A1,3,emergency ,비상사태 
V-map,Basic,A1,3,everyday,일상적인
V-map,Basic,A1,3,flour ,밀가루
V-map,Basic,A1,3,green ,환경친화적인 
V-map,Basic,A1,3,have ~ in mind,~을 염두에 두다
V-map,Basic,A1,3,I agree with you.,당신 말에 동의해
V-map,Basic,A1,3,invention ,발명 
V-map,Basic,A1,3,inventor ,발명가 
V-map,Basic,A1,3,line up ,줄을 서다
V-map,Basic,A1,3,movement ,움직임 
V-map,Basic,A1,3,nervous system,신경계
V-map,Basic,A1,3,on average ,"평균적으로, 대체로"
